 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
389,113095465,48,24,9668,10012,403,0,201.4166667,203.5482935,923,316,417.1666667,231.0809507,174.0122825,0.636630302,1592893.873,4597264.595,16500000,3,113000000,2406286.489,5491986.114,16500000,3,113000000,4917177.522,7084368.263,16500000,3,1,0,0,0,1536,768,0.424420201,0.212210101,0,923,275.109589,233.8332479,54677.98782,0,1,0,0,1,0,0,0,0,278.9305556,201.4166667,417.1666667,1536,0,0,0,0,0,0,48,9668,24,10012,571,2079,23,32,203985.5,575837.2562,1629110,379,13800000.0,4277541.062,16500000,6737603,BENIGN
389,113473706,68,40,11364,12718,403,0,167.1176471,171.9194127,1139,126,317.95,208.2612942,212.2253767,0.95176234,1060501.925,3813685.451,16500000,2,113000000,1693637.403,4719143.265,16500000,2,113000000,2908399.744,5922355.273,16500000,3,1,0,0,0,2176,1280,0.59925777,0.352504571,0,1139,224.6330275,198.999612,39600.84557,0,1,0,0,1,0,0,0,0,226.712963,167.1176471,317.95,2176,0,0,0,0,0,0,68,11364,40,12718,390,2081,39,32,178326.875,503426.946,1424245,325,13800000.0,4229413.12,16500000,6945512,BENIGN
0,119945515,150,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.25056781,805003.4564,5277836.772,60100000,0,120000000,805003.4564,5277836.772,60100000,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1.25056781,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,150,0,0,0,-1,-1,0,0,6909777.333,11700000.0,20400000,6,24400000.0,24300000.0,60100000,5702188,BENIGN
443,60261928,9,7,2330,4221,1093,0,258.8888889,409.7021615,1460,0,603.0,653.5941656,108.7087688,0.265507602,4017461.867,15500000.0,60000000,1,60300000,7532741.0,21200000.0,60000000,311,211947,35324.5,27504.33405,57109,48,0,0,0,0,192,152,0.149348026,0.116159576,0,1460,385.3529412,532.0940872,283124.1176,0,0,0,1,0,0,0,0,0,409.4375,258.8888889,603.0,192,0,0,0,0,0,0,9,2330,7,4221,8192,513,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,269,2,2,102,322,51,51,51.0,0.0,161,161,161.0,0.0,1576208.178,14869.88848,89.66666667,148.3790192,261,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,7434.944238,7434.944238,51,161,95.0,60.24948133,3630.0,0,0,0,0,0,0,0,0,1,118.75,51.0,161.0,64,0,0,0,0,0,0,2,102,2,322,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,30352,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,3162.888772,65.89351608,30352.0,0.0,30352,30352,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.94675804,32.94675804,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
59135,48,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,250000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20833.33333,20833.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,513,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5353,89501767,223,0,26257,0,219,45,117.7443946,63.99100551,0,0,0.0,0.0,293.3685097,2.491570921,403161.1126,2843991.635,32000000,1,89500000,403161.1126,2843991.635,32000000,1,0,0.0,0.0,0,0,0,0,0,0,5762,0,2.491570921,0.0,45,219,118.1517857,64.1378434,4113.662956,0,0,0,0,0,0,0,0,0,118.6816143,117.7443946,0.0,5762,0,0,0,0,0,0,223,26257,0,0,-1,-1,222,14,3044839.75,3594216.933,7003810,13,19300000.0,10100000.0,32000000,8008170,BENIGN
53,23527,1,1,34,109,34,34,34.0,0.0,109,109,109.0,0.0,6078.123008,85.00871339,23527.0,0.0,23527,23527,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,42.5043567,42.5043567,34,109,59.0,43.30127019,1875.0,0,0,0,0,0,0,0,0,1,88.5,34.0,109.0,32,0,0,0,0,0,0,1,34,1,109,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23978,2,2,46,196,23,23,23.0,0.0,98,98,98.0,0.0,10092.58487,166.8195846,7992.666667,13836.77655,23970,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,83.40979231,83.40979231,23,98,53.0,41.07919181,1687.5,0,0,0,0,0,0,0,0,1,66.25,23.0,98.0,64,0,0,0,0,0,0,2,46,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,107015212,14,14,672,672,48,48,48.0,0.0,48,48,48.0,0.0,12.55896218,0.261645045,3963526.37,14300000.0,69000000,0,107000000,8231931.077,20100000.0,69000000,3,107000000,8231934.615,20100000.0,69000000,0,0,0,0,0,304,304,0.130822523,0.130822523,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,49.71428571,48.0,48.0,304,0,0,0,0,0,0,14,672,14,672,-1,-1,13,14,3507671.5,4960455.186,7015243,100,50000000.0,26900000.0,69000000,31000000,BENIGN
138,75288199,21,0,4935,0,235,235,235.0,0.0,0,0,0.0,0.0,65.54812129,0.278928176,3764409.95,16800000.0,75300000,1,75300000,3764409.95,16800000.0,75300000,1,0,0.0,0.0,0,0,0,0,0,0,420,0,0.278928176,0.0,235,235,235.0,0.0,0.0,0,0,0,0,0,0,0,0,0,246.1904762,235.0,0.0,420,0,0,0,0,0,0,21,4935,0,0,-1,-1,20,20,20.0,0.0,20,20,75300000.0,0.0,75300000,75300000,BENIGN
137,3378994,205,0,13760,0,68,50,67.12195122,3.886850141,0,0,0.0,0.0,4072.217944,60.66894466,16563.69608,166333.5221,1780399,1,3378994,16563.69608,166333.5221,1780399,1,0,0.0,0.0,0,0,0,0,0,0,3572,0,60.66894466,0.0,50,68,67.12621359,3.877841018,15.03765096,0,0,0,0,0,0,0,0,0,67.45365854,67.12195122,0.0,3572,0,0,0,0,0,0,205,13760,0,0,-1,-1,204,14,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
137,3,2,0,124,0,62,62,62.0,0.0,0,0,0.0,0.0,41300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.0,62.0,0.0,40,0,0,0,0,0,0,2,124,0,0,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
