Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,5322475,6,4,611,168,517,0,101.8333333,204.3050823,156,0,42.0,76.05261337,146.3604808,1.878825171,591386.1111,1733220.034,5213029,3,5322475,1064495.0,2351497.651,5270918,3,87019,29006.33333,31919.36084,63670,827,0,0,0,0,132,92,1.127295102,0.751530068,0,517,70.81818182,154.9721383,24016.36364,0,0,0,1,0,0,0,0,0,77.9,101.8333333,42.0,132,0,0,0,0,0,0,6,611,4,168,8192,119,5,20,109443.0,0.0,109443,109443,5213029.0,0.0,5213029,5213029,0
80,429234,3,4,711,421,711,0,237.0,410.4960414,421,0,105.25,210.5,2637.256135,16.30812098,71539.0,109979.4297,213634,48,214249,107124.5,150393.8342,213469,780,215827,71942.33333,123439.3712,214476,48,0,0,0,0,108,136,6.989194705,9.318926273,0,711,141.5,273.2304104,74654.85714,0,0,0,1,0,0,0,0,1,161.7142857,237.0,105.25,108,0,0,0,0,0,0,3,711,4,421,65535,5091,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5084468,2,2,0,212,0,0,0.0,0.0,212,0,106.0,149.9066376,41.69561103,0.786709642,1694822.667,2899088.6,5042314,76,42154,42154.0,0.0,42154,42154,5042390,5042390.0,0.0,5042390,5042390,0,0,0,0,72,72,0.393354821,0.393354821,0,212,42.4,94.80928225,8988.8,0,0,0,1,0,0,0,0,1,53.0,0.0,106.0,72,0,0,0,0,0,0,2,0,2,212,29200,114,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,878748,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,13238.15246,10.24184408,109843.5,310342.1322,877901,3,715,357.5,243.9518395,530,185,878685,175737.0,392521.7245,877901,3,0,0,0,0,72,132,3.413948026,6.827896052,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,522155,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,22267.33441,15.32112112,74593.57143,188086.9076,500784,60,20937,10468.5,14535.9941,20747,190,522018,130504.5,247045.2901,500784,184,0,0,0,0,72,112,5.745420421,9.575700702,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
443,4195468,5,2,123,46,46,0,24.6,23.27659769,46,0,23.0,32.52691193,40.28156096,1.668467022,699244.6667,1614556.302,3994073,44,4195468,1048867.0,1964746.798,3994073,44,4070873,4070873.0,0.0,4070873,4070873,1,0,0,0,160,64,1.191762159,0.476704863,0,46,26.875,22.82503325,520.9821429,0,1,0,0,1,0,0,0,0,30.71428571,24.6,23.0,160,0,0,0,0,0,0,5,123,2,46,317,349,2,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,731818,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,15887.83003,9.565219768,121969.6667,292516.8794,718993,60,12588,6294.0,8075.159441,12004,584,731598,243866.0,411517.644,718993,177,0,0,0,0,72,92,4.0993799,5.465839867,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,1244025,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,24.115271,4.019211833,311006.25,621340.6795,1243017,1,1244025,311006.25,621340.6795,1243017,1,0,0.0,0.0,0,0,0,0,0,0,100,0,4.019211833,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,676165,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,17204.38059,11.83143168,96595.0,255008.2015,674899,5,970,485.0,478.0041841,823,147,676060,169015.0,337256.2554,674899,5,0,0,0,0,72,112,4.436786879,7.394644798,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,71129358,8,5,56,11607,20,0,7.0,5.656854249,7215,0,2321.4,3327.769794,163.9688636,0.182765603,5927446.5,20000000.0,69300000,1,70400000,10100000.0,26100000.0,69300000,1,747349,186837.25,372968.0284,746289,13,0,0,0,0,172,112,0.11247114,0.070294463,0,7215,833.5,2175.302587,4731941.346,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,1045157.0,0.0,1045157,1045157,69300000.0,0.0,69300000,69300000,1
80,115889891,16,14,515,1780,431,0,32.1875,106.3605307,1774,0,127.1428571,474.0007882,19.80328034,0.25886641,3996203.138,4879641.727,10100000,127,116000000,7725992.733,4159294.336,10100000,37106,111000000,8535851.538,3729312.021,10200000,1710,0,0,0,0,332,424,0.138062085,0.120804325,0,1774,74.03225806,324.7292702,105449.0989,0,0,0,1,0,0,0,0,0,76.5,32.1875,127.1428571,332,0,0,0,0,0,0,16,515,14,1780,8192,946,15,20,61266.18182,81069.74601,305700,36657,10000000.0,42855.24359,10100000,9999836,0
80,10107553,7,10,9581,953,4380,0,1368.714286,1606.361387,905,0,95.3,284.5058289,1042.190924,1.681910547,631722.0625,2482582.673,9941141,1,166412,27735.33333,37720.7518,96475,50,10100000,1119463.111,3331139.113,10000000,1,0,0,0,0,152,212,0.692551402,0.989359146,0,4380,585.2222222,1169.479902,1367683.242,0,0,0,1,0,0,0,0,1,619.6470588,1368.714286,95.3,152,0,0,0,0,0,0,7,9581,10,953,8192,92,6,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53210,82,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24390.2439,82.0,0.0,82,82,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12195.12195,12195.12195,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,68,251,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,188259,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,61760.65952,47.80647937,23532.375,60109.58748,171747,15,16025,8012.5,9939.800023,15041,984,188192,37638.4,75292.66568,171747,15,0,0,0,0,72,132,15.93549312,31.87098625,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,11997688,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.000385408,0.333397568,3999229.333,6924266.153,12000000,1,12000000,3999229.333,6924266.153,12000000,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.333397568,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,3005.0,0.0,3005,3005,12000000.0,0.0,12000000,12000000,1
80,136681,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,85066.68813,65.84675266,17085.125,42365.9632,121136,11,15151,7575.5,10530.94129,15022,129,136670,27334.0,52847.9402,121136,18,0,0,0,0,72,132,21.94891755,43.89783511,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
53,146,2,2,72,104,36,36,36.0,0.0,52,52,52.0,0.0,1205479.452,27397.26027,48.66666667,79.09698688,140,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,13698.63014,13698.63014,36,52,42.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,53.0,36.0,52.0,40,0,0,0,0,0,0,2,72,2,104,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53276,6896347,1,5,1375,24,1375,1375,1375.0,0.0,6,0,4.8,2.683281573,202.8610219,0.870025827,1379269.4,3067394.775,6866374,3,0,0.0,0.0,0,0,6876834,1719208.5,3431446.293,6866374,3,1,0,0,0,20,112,0.145004304,0.725021522,0,1375,396.2857143,668.5927296,447016.2381,0,1,0,0,1,1,0,0,5,462.3333333,1375.0,4.8,20,0,0,0,0,0,0,1,1375,5,24,229,0,0,20,29973.0,0.0,29973,29973,6866374.0,0.0,6866374,6866374,0
80,856282,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,13578.47064,9.342716535,122326.0,313282.4728,832553,152,23001,11500.5,14934.80233,22061,940,856023,214005.75,412502.5206,832553,158,0,0,0,0,72,112,3.503518701,5.839197834,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
